YEAR,MO,DY,Humidity,Wind_speed,Pressure,Temp,DEW_point,Wind_Direction,Precipitation
1982,1,1,41.12,2.87,97.92,13.87,-0.03,299.19,0
1982,1,2,42.69,3.45,97.69,13.73,0.29,281.81,0
1982,1,3,38,1.7,97.67,15.23,0.1,142.25,0
1982,1,4,68.56,5.2,97.91,13.36,7.44,102.12,3.18
1982,1,5,60.69,2.36,98.12,15.01,7.02,218.81,0.05
1982,1,6,54.94,2.8,98.06,14.11,4.31,296.06,0
1982,1,7,50.38,1.85,98.07,13.08,2.23,238.38,0
1982,1,8,45.62,1.65,98.17,13.48,1.59,133.25,0
1982,1,9,57.31,3.08,98.01,13.2,4.37,147.56,5.06
1982,1,10,73.94,2.02,97.9,12.4,7.63,195.75,2.87
1982,1,11,60.62,2.25,97.87,14.2,5.96,209.5,0
1982,1,12,51.62,1.95,97.94,14.16,3.85,263.38,0
1982,1,13,49.38,1.88,98.03,13.9,2.9,300.56,0
1982,1,14,45,2.48,97.93,14.38,1.78,307.38,0
1982,1,15,42.88,2.51,97.86,14,0.77,288.62,0
1982,1,16,39.94,2.29,97.86,13.62,-0.76,292.88,0
1982,1,17,32.94,1.7,97.91,13.87,-2.84,226.5,0
1982,1,18,33.31,1.64,98.03,13.73,-2.81,127.5,0
1982,1,19,34.44,2.11,98,14.14,-2.12,193.5,0
1982,1,20,35.56,2.07,97.89,14.03,-1.79,181.81,0
1982,1,21,33.81,1.79,97.97,13.95,-2.38,131.94,0
1982,1,22,38.25,3.32,97.78,15.16,0.36,137.25,0
1982,1,23,51.81,2.37,97.83,14.38,4.34,150.25,0
1982,1,24,51.75,2.51,98.08,15.71,5.43,117.94,0
1982,1,25,69.88,3.57,98.33,13.56,8.03,92.88,7.59
1982,1,26,88.81,3.24,98.38,12.48,10.64,115.56,14.35
1982,1,27,72.19,2.36,98.45,12.58,7.3,183.81,5.29
1982,1,28,51.44,2.25,98.31,12.75,2.65,222.5,0
1982,1,29,46.12,2.25,98.33,13.48,1.36,303.69,0
1982,1,30,46.56,1.62,98.13,13.68,2.09,251.94,0
1982,1,31,54.75,2.93,98.17,14.84,5.04,142.38,1.39
1982,2,1,66.5,1.98,98.18,13.93,7.13,213.5,0.05
1982,2,2,52.38,2.48,97.88,14.11,4.03,296.5,0.02
1982,2,3,53.06,1.73,97.74,15.06,4.99,222.88,5.16
1982,2,4,62.12,2.73,97.86,13.53,5.73,201.12,4.69
1982,2,5,52.94,2.93,97.89,12.42,2.23,297.44,0
1982,2,6,46.44,3.73,97.65,11.19,-1.46,294.44,0
1982,2,7,41.5,2.67,97.59,12.85,-0.79,296.75,0
1982,2,8,36.31,3.98,97.61,14.17,-1.51,224.25,0
1982,2,9,39.12,4.33,97.6,12.53,-2.63,286.5,0
1982,2,10,48.94,1.53,97.84,12,1.05,169.44,0.13
1982,2,11,76.19,3.7,97.7,13.44,9.21,86.5,13.38
1982,2,12,63.19,2.4,97.53,15.14,7.49,117.81,1.33
1982,2,13,56.06,2.28,97.78,15.17,5.73,196.5,0.09
1982,2,14,55.94,2.78,97.81,14.37,5.11,295.19,0
1982,2,15,54.12,1.78,97.6,15.23,5.44,239.62,0.47
1982,2,16,65.5,2.17,97.74,14.85,8.08,136,0.08
1982,2,17,70.38,1.95,97.68,14.03,8.49,198.69,5.24
1982,2,18,52.81,1.98,97.62,16.25,6.25,161.31,4.95
